Graphics v 0.2.5 ';' exported '2021-12-21 11:41:00'
;Record #2;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
1.12667;45.5348;0;0;404.518;18.842;22.6516;
1.13;45.4956;0;0;400.002;18.7144;22.6497;
1.13333;45.525;0;0;400.181;18.528;22.6457;
1.13667;45.525;0;0;397.655;18.1001;22.6457;
1.14;45.5152;0;0;399.951;19.103;22.6457;
1.14333;45.5545;0;0;400.512;18.4298;22.6359;
1.14667;45.5545;0;0;399.645;18.8067;22.63;
1.15;45.5447;0;0;399.594;18.3121;22.6202;
1.15333;45.525;0;0;399.568;18.1492;22.6143;
1.15667;45.4956;0;0;401.125;18.1923;22.6104;
1.16;45.525;0;0;401.201;17.9882;22.6065;
1.16333;45.5152;0;0;401.482;19.1776;22.6045;
1.16667;45.5152;0;0;397.348;18.5515;22.6006;
1.17;45.5348;0;0;398.139;19.1855;22.5967;
1.17333;45.5447;0;0;398.088;18.6536;22.5947;
1.17667;45.5348;0;0;400.665;19.0736;22.5908;
1.18;45.525;0;0;402.171;18.5064;22.5888;
1.18333;45.525;0;0;400.41;18.4004;22.5868;
1.18667;45.5447;0;0;401.38;18.3592;22.5849;
1.19;45.5447;0;0;400.002;17.9686;22.581;
1.19333;45.5348;0;0;400.487;18.8283;22.5692;
1.19667;45.5348;0;0;399.517;18.1963;22.5613;
1.2;45.5447;0;0;399.39;19.1855;22.5535;
1.20333;45.5447;0;0;398.854;18.5888;22.5456;
1.20667;45.5447;0;0;398.65;18.6182;22.5417;
1.21;45.5447;0;0;400.206;18.2669;22.5358;
1.21333;45.525;0;0;401.941;18.21;22.5339;
1.21667;45.5348;0;0;402.707;18.9441;22.5417;
1.22;45.5348;0;0;399.288;18.1845;22.5515;
1.22333;45.5348;0;0;399.517;19.0599;22.5594;
1.22667;45.5643;0;0;397.706;18.5201;22.5633;
1.23;45.5545;0;0;399.645;19.105;22.5692;
1.23333;45.5643;0;0;400.767;18.7027;22.5711;
1.23667;45.5447;0;0;400.359;18.7085;22.5751;
1.24;45.5545;0;0;400.385;18.5025;22.581;
1.24333;45.5741;0;0;399.823;18.051;22.5849;
1.24667;45.5447;0;0;401.354;18.3592;22.5908;
1.25;45.5447;0;0;401.227;17.9647;22.5927;
1.25333;45.5348;0;0;402.63;19.1521;22.5986;
1.25667;45.5348;0;0;397.731;18.8793;22.6006;
1.26;45.5643;0;0;397.986;18.9068;22.6026;
1.26333;45.5545;0;0;398.344;18.63;22.6045;
1.26667;45.5447;0;0;400.232;18.4043;22.6045;
1.27;45.5348;0;0;401.737;18.5005;22.6065;
1.27333;45.5447;0;0;399.211;17.9784;22.6084;
1.27667;45.525;0;0;398.854;18.4573;22.6065;
1.28;45.5348;0;0;397.91;17.9549;22.6065;
1.28333;45.525;0;0;399.594;18.9715;22.6084;
1.28667;45.5152;0;0;400.385;18.7714;22.6084;
1.29;45.5447;0;0;400.819;18.6634;22.6084;
1.29333;45.5545;0;0;400.155;18.6634;22.6143;
1.29667;45.525;0;0;398.905;18.0079;22.6182;
1.3;45.5545;0;0;400.946;18.2983;22.6202;
1.30333;45.5937;0;0;402.553;17.8528;22.6222;
1.30667;45.5545;0;0;403.166;19.0226;22.6241;
1.31;45.5839;0;0;399.058;18.5672;22.6281;
1.31333;45.525;0;0;399.262;18.9578;22.63;
1.31667;45.5545;0;0;396.226;18.893;22.6379;
1.32;45.5545;0;0;398.445;18.8714;22.6438;
1.32333;45.525;0;0;400.359;18.8204;22.6497;
1.32667;45.525;0;0;399.032;18.1904;22.6555;
1.33;45.5152;0;0;399.237;18.1492;22.6575;
1.33333;45.5545;0;0;398.93;17.6271;22.6634;
1.33667;45.5348;0;0;400.283;18.6379;22.6673;
1.34;45.5545;0;0;400.87;18.1236;22.6712;
1.34333;45.5545;0;0;401.329;19.0049;22.6791;
1.34667;45.5348;0;0;396.94;18.8636;22.685;
1.35;45.5545;0;0;397.629;18.9028;22.6909;
1.35333;45.5348;0;0;397.578;18.7439;22.6928;
1.35667;45.5447;0;0;400.436;18.3023;22.6968;
1.36;45.525;0;0;401.15;18.7949;22.6987;
1.36333;45.525;0;0;399.237;18.0451;22.6987;
1.36667;45.525;0;0;399.594;18.895;22.6968;
1.37;45.525;0;0;398.012;18.4534;22.6928;
1.37333;45.525;0;0;399.339;19.0972;22.6909;
1.37667;45.525;0;0;400.665;18.8479;22.6889;
1.38;45.5447;0;0;400.793;18.4338;22.687;
1.38333;45.5152;0;0;400.104;18.4455;22.687;
1.38667;45.5741;0;0;399.339;17.8273;22.685;
1.39;45.5348;0;0;401.329;18.3454;22.6791;
1.39333;45.5643;0;0;402.962;17.8803;22.6771;
1.39667;45.5643;0;0;403.14;18.9755;22.6752;
1.4;45.5741;0;0;399.007;18.9853;22.6712;
1.40333;45.5447;0;0;399.568;18.6791;22.6693;
1.40667;45.5447;0;0;398.012;18.9382;22.6673;
1.41;45.5447;0;0;400.129;18.2924;22.6673;
1.41333;45.5643;0;0;401.303;18.7242;22.6673;
1.41667;45.5741;0;0;399.288;17.9843;22.6673;
1.42;45.5447;0;0;400.104;18.6045;22.6693;
1.42333;45.5545;0;0;399.849;18.3081;22.6693;
1.42667;45.5545;0;0;401.38;18.6516;22.6693;
1.43;45.5447;0;0;401.482;18.3003;22.6693;
1.43333;45.5348;0;0;401.635;18.6575;22.6693;
1.43667;45.5643;0;0;397.731;18.2826;22.6673;
1.44;45.5839;0;0;398.369;19.0814;22.6614;
1.44333;45.5545;0;0;398.879;18.4495;22.6575;
1.44667;45.5447;0;0;401.023;19.2286;22.6536;
1.45;45.5839;0;0;402.681;18.4593;22.6497;
1.45333;45.5447;0;0;399.39;18.738;22.6457;
1.45667;45.5348;0;0;399.925;17.9058;22.6438;
1.46;45.5348;0;0;398.344;18.108;22.6418;
1.46333;45.5348;0;0;399.721;18.1884;22.632;
1.46667;45.5348;0;0;400.308;18.0412;22.6261;
1.47;45.5447;0;0;400.104;19.2836;22.6202;
1.47333;45.5447;0;0;398.19;18.6241;22.6163;
1.47667;45.5545;0;0;397.731;19.0991;22.6104;
1.48;45.6035;0;0;399.543;18.4436;22.6084;
1.48333;45.5447;0;0;401.635;18.6359;22.6045;
1.48667;45.5643;0;0;402.196;18.683;22.6006;
1.49;45.5545;0;0;398.063;18.2807;22.5967;
1.49333;45.5643;0;0;399.109;18.5986;22.5947;
1.49667;45.5545;0;0;397.323;18.263;22.5927;
1.5;45.5839;0;0;399.951;19.3032;22.5888;
1.50333;45.5741;0;0;402.324;18.579;22.5868;
1.50667;45.5348;0;0;401.176;18.7733;22.5868;
1.51;45.5741;0;0;401.507;18.2414;22.5849;
1.51333;45.6035;0;0;400.308;18.0353;22.5888;
1.51667;45.5447;0;0;401.839;18.3003;22.5908;
1.52;45.5643;0;0;401.941;18.0805;22.5927;
1.52333;45.5741;0;0;402.145;19.1384;22.5947;
1.52667;45.5643;0;0;397.91;18.7851;22.5967;
1.53;45.5348;0;0;398.012;19.1011;22.5967;
1.53333;45.5643;0;0;398.854;18.6595;22.6006;
1.53667;45.5643;0;0;401.176;18.7969;22.5967;
1.54;45.5839;0;0;401.992;18.6261;22.5947;
1.54333;45.5447;0;0;399.185;18.1982;22.5908;
1.54667;45.5348;0;0;399.211;18.4338;22.5868;
1.55;45.5643;0;0;398.114;17.8096;22.5849;
1.55333;45.5447;0;0;399.466;19.0226;22.5829;
1.55667;45.5447;0;0;399.721;18.6006;22.581;
