Graphics v 0.2.5 ';' exported '2021-12-21 11:44:57'
;Record #0;;;;;;
;Cycle #1;"";;;;;
time ( min.);detect H-AE-3020;collection valve;reference point;flow;column P.;T°;
0.87;96.0981;0;0;400.027;15.3778;22.1982;
0.873333;96.0805;0;0;399.032;14.9107;22.1982;
0.876667;96.0766;0;0;398.624;15.1148;22.2022;
0.88;96.0746;0;0;400.308;14.4534;22.2041;
0.883333;96.0805;0;0;400.64;14.9676;22.2022;
0.886667;96.0844;0;0;400.461;14.4514;22.2061;
0.89;96.1021;0;0;399.058;14.8263;22.2061;
0.893333;96.1099;0;0;399.007;14.2061;22.2061;
0.896667;96.0981;0;0;400.461;14.8813;22.1904;
0.9;96.1021;0;0;402.069;14.6163;22.1747;
0.903333;96.0942;0;0;402.298;15.2306;22.1609;
0.906667;96.0824;0;0;399.032;15.264;22.1511;
0.91;96.0785;0;0;399.134;14.8577;22.1413;
0.913333;96.0824;0;0;397.246;15.0834;22.1354;
0.916667;96.0707;0;0;399.083;14.5888;22.1295;
0.92;96.0981;0;0;400.129;14.9244;22.1335;
0.923333;96.1021;0;0;400.078;14.3768;22.1394;
0.926667;96.106;0;0;399.67;14.8263;22.1452;
0.93;96.104;0;0;399.951;14.316;22.1511;
0.933333;96.1021;0;0;400.563;15.0638;22.1551;
0.936667;96.0903;0;0;401.405;14.5515;22.159;
0.94;96.0883;0;0;401.456;15.2051;22.1609;
0.943333;96.0864;0;0;397.91;15.105;22.1668;
0.946667;96.0903;0;0;398.956;14.844;22.1766;
0.95;96.0766;0;0;398.777;14.9715;22.1845;
0.953333;96.0903;0;0;401.303;14.5123;22.1904;
0.956667;96.0942;0;0;402.707;14.9558;22.1963;
0.96;96.1021;0;0;400.512;14.4593;22.2002;
0.963333;96.0981;0;0;400.078;14.8989;22.2041;
0.966667;96.1021;0;0;399.951;14.3867;22.2061;
0.97;96.0824;0;0;400.665;15.0716;22.2041;
0.973333;96.0785;0;0;400.87;14.7458;22.2041;
0.976667;96.0667;0;0;401.252;15.2267;22.2002;
0.98;96.0785;0;0;398.037;15.0383;22.2022;
0.983333;96.0746;0;0;399.415;14.9912;22.2002;
0.986667;96.0805;0;0;399.032;14.946;22.2002;
0.99;96.0903;0;0;400.895;14.7439;22.2002;
0.993333;96.104;0;0;401.686;14.7753;22.1865;
0.996667;96.1099;0;0;400.283;14.577;22.1766;
1;96.1079;0;0;399.849;14.7458;22.1668;
1.00333;96.0942;0;0;400.027;14.2709;22.159;
1.00667;96.0962;0;0;400.793;14.9853;22.1531;
1.01;96.0864;0;0;400.87;14.5299;22.1472;
1.01333;96.0844;0;0;400.844;15.3994;22.1433;
1.01667;96.0824;0;0;397.348;14.9127;22.1472;
1.02;96.0922;0;0;398.216;15.1423;22.1551;
1.02333;96.0981;0;0;399.109;14.9225;22.1609;
1.02667;96.1099;0;0;400.946;15.0187;22.1668;
1.03;96.106;0;0;401.916;14.7498;22.1708;
1.03333;96.0981;0;0;400.104;14.6595;22.1747;
1.03667;96.0962;0;0;399.466;14.5967;22.1786;
1.04;96.0824;0;0;398.981;14.2591;22.1825;
1.04333;96.0707;0;0;400.078;14.9087;22.1904;
1.04667;96.0805;0;0;400.257;14.5299;22.1963;
1.05;96.0864;0;0;401.125;15.366;22.2002;
1.05333;96.0942;0;0;398.369;14.9107;22.2061;
1.05667;96.104;0;0;399.109;15.368;22.21;
1.06;96.106;0;0;399.925;14.9225;22.212;
1.06333;96.1079;0;0;401.456;15.2699;22.2139;
1.06667;96.1079;0;0;402.222;14.6202;22.208;
1.07;96.0962;0;0;400.716;14.7517;22.2022;
